Image                                            NC        BER
-----------------------------------------------------------------
e54b0d73b89142a0acbeedc4b3c49c84_wm_medianK3.png     0.3604     0.3250
5093d4380fe240d3abbca91e4400ae49_wm_medianK3.png     1.0000     0.0000
3881898746a94af8b9958263e4f60c88_wm_medianK3.png     0.8616     0.0688
ab9429cbfb2f4d76be9d645035006fa5_wm_medianK3.png     0.8488     0.0750
f62fb8341ec04c88a9fb07ecf0ef06be_wm_medianK3.png     0.4590     0.2687
55036d1597a540cfb25e8332e8d66438_wm_medianK3.png     1.0000     0.0000
206c5724d37f4630a34d9921b34f9a98_wm_medianK3.png     0.5670     0.2188
5d765f2913db485c8987909b159ab4e4_wm_medianK3.png     0.9370     0.0312
5dbd1ba42c5a4bc4a29c92c52bf5d706_wm_medianK3.png     0.4447     0.2750
08c221bd97794b2891358b282a866861_wm_medianK3.png     0.5453     0.2250
